project_id;all;
candykingdom_gps_tracker;27,_usb_serial_converter,_uart,_msop_10_,ch340e,u2,ch340x,msop_10_3x3mm_p0_5mm,1,_,https_www_mpja_com_download_35227cpdata_pdf,c3035748,,,,,_
coddingtonbear_bullion;14_u2_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_dolly;3_u2_soic_16_1_ch340g___
coddingtonbear_gopro_dashcam_tender;5_u1_soic_16_1_ch340g___
coddingtonbear_nespole;4_u2_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_osminog;8_u1_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_skarsta_plus;2_u3_soic_16_3_9x9_9mm_p1_27mm_1_ch340g___
coddingtonbear_suzibot;19_u$1_ch340g_soic16_1_~___
coddingtonbear_urchin;4_u1_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
electrolama_tinyreflowcontroller;27,,ch340e_rocketscreamkicadlib,u4,ch340e,msop_10,1,_,http_www_wch_cn_download_ch340ds1_pdf_html_
electrolama_zig_a_zig_ah;8,,interface_ch340e,ic1,ch340e,_pkg_msop10_ti_dgs10,1,_,_
electroniccats_badge_owasp_latam_mexico_2020;12_u2_soic_16_3_9x9_9mm_p1_27mm_1_ch340c___
omerk_zig_a_zig_ah;8,,interface_ch340e,ic1,ch340e,_pkg_msop10_ti_dgs10,1,_,_
sparkfunx_sno_shoe;21,,ch340e_msop10,u1,ch340e_msop10,msop10,1,_,_
sparkfunx_sparkfun_esp32_thing_plus_c;28,,ch340c,u7,ch340c,so016,1,_,,_
sparkfun_blackboard;42,,ch340c,u5,ch340c,so016,1,_,,_
sparkfun_micromod_asset_tracker_update_tool;11,,ch340c,u2,ch340c,so016,1,_,_
sparkfun_micromod_da16200_function;23,,ch340e_msop10,u2,ch340e_msop10,msop10,1,_,_
sparkfun_pi_servo_hat;30,,ch340c,u3,ch340c,so016,1,_,_
