project_id;all;
coddingtonbear_bullion;14_u2_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_dolly;3_u2_soic_16_1_ch340g___
coddingtonbear_gopro_dashcam_tender;5_u1_soic_16_1_ch340g___
coddingtonbear_nespole;4_u2_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_osminog;8_u1_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
coddingtonbear_skarsta_plus;2_u3_soic_16_3_9x9_9mm_p1_27mm_1_ch340g___
coddingtonbear_suzibot;19_u$1_ch340g_soic16_1_~___
coddingtonbear_urchin;4_u1_soic_16_3_9x9_9mm_pitch1_27mm_1_ch340g___
